X,Y,Reachability_Distance
13594669.61,4509707.792,1.3790971678358646
13594670.4,4509707.982,1.3790971678358646
13594671.2,4509707.812,1.4165436810787024
13594672.13,4509708.036,1.4780446549415398
13594669.5,4509708.627,1.3790971678358646
13594669.99,4509709.32,1.3501540644491148
13594670.62,4509709.381,1.3501540644491148
13594668.69,4509709.644,1.3501540644491148
13594668.64,4509708.909,1.3501540644491148
13594669.32,4509709.137,1.3501540644491148
13594670.15,4509709.216,1.3501540644491148
13594671.02,4509709.301,1.4165436810787024
13594671.82,4509709.181,1.4579780526529256
13594669.27,4509710.206,1.4230393537814283
13594672.03,4509709.663,1.4780446549415398
13594671.08,4509709.688,1.4165436810787024
13594668.69,4509704.937,2.4991800653919056
13594669.06,4509703.476,3.28928016422036
13594668.97,4509702.445,3.760491989080935
13594668.58,4509701.101,3.972314690507403
13594668.15,4509706.115,1.903031529573316
13594667.8,4509707.067,1.6674078687230482
13594667.65,4509708.136,1.6674078687230482
13594667.8,4509710.562,1.775663537248707
13594667.67,4509711.88,2.1083396319379615
13594667.65,4509712.526,2.379448674377303
13594667.61,4509713.517,3.7452444506181966
13594667.45,4509714.701,3.492458160610964
13594667.56,4509715.736,2.7248855024500576
13594667.54,4509717.184,2.2097803060493173
13594668.44,4509717.182,1.9124654237937087
13594667.9,4509718.445,1.5427083329976536
13594668.92,4509718.0,1.724005800089366
13594669.03,4509723.7,0.9751210182905813
13594668.24,4509723.498,0.9751210182905813
13594668.26,4509723.042,1.0618140137935108
13594669.38,4509722.832,1.0618140137935108
13594668.88,4509722.92,1.0618140137935108
13594668.71,4509722.132,1.043227684605754
13594668.86,4509723.935,0.956138588008642
13594667.13,4509722.143,1.1928792891605902
13594668.87,4509723.412,0.9751210182905813
13594668.15,4509723.245,0.9751210182905813
13594669.42,4509723.086,0.9751210182905813
13594668.63,4509722.853,0.9751210182905813
13594668.63,4509722.39,0.9751210182905813
13594667.62,4509722.288,1.0161023579484951
13594667.0,4509722.226,1.2703074429052768
13594669.45,4509722.253,1.0450937761332724
