X,Y,Reachability_Distance,Core_Distance,Core_points_index
13594667.54,4509717.184,12.313710406953255,3.7452444506181966,186
13594668.44,4509717.182,12.433523233410279,3.492458160610964,187
13594667.9,4509718.445,11.102923443527498,2.6339371670922582,188
13594668.92,4509718.0,11.72270719583863,2.7248855024500576,189
13594669.03,4509723.7,6.328203852312996,1.3098091462359682,190
13594668.24,4509723.498,6.231214649287523,1.2498575914567904,191
13594668.26,4509723.042,6.673237594683745,1.1395174427453298,192
13594669.38,4509722.832,7.263070975970689,1.1275921249729985,193
13594668.88,4509722.92,6.9883176807206935,0.9751210182905813,194
13594668.71,4509722.132,7.675395755401072,1.1892081392481446,195
13594668.86,4509723.935,6.043769436658953,1.5287213603321697,196
13594667.13,4509722.143,7.33846039693474,1.7641417169614253,197
13594668.87,4509723.412,6.527702505717068,1.1709039242176107,198
13594668.15,4509723.245,6.447573884838994,1.2301625913194665,199
13594669.42,4509723.086,7.049910354073465,1.1670578392588373,200
13594668.63,4509722.853,6.965810864736792,1.0160708627377188,201
13594668.63,4509722.39,7.405288921399721,1.0925314633643126,202
13594667.62,4509722.288,7.262383630832637,1.3860014432466252,203
13594667.0,4509722.226,7.243449178481733,1.8636619868826578,204
13594669.45,4509722.253,7.821005114689164,1.105848543114476,205
13594668.63,4509721.99,7.787162769660746,1.1637736038135085,206
13594668.56,4509721.717,8.029428684540294,1.1381546467445895,207
13594669.8,4509721.204,8.92353876043662,1.0595418821523002,208
13594668.8,4509721.264,8.531388163562111,1.084746975097507,209
13594668.23,4509721.193,8.456098450349755,1.2565922168000303,210
13594668.29,4509720.877,8.777563727525989,1.3244429023669657,211
13594668.87,4509722.4,7.472600885369499,1.0618140137935108,212
13594668.27,4509722.381,7.31216253908127,1.1928792891605902,213
13594668.13,4509722.015,7.632688190138025,1.2703074429052768,214
13594669.57,4509721.372,8.681295986022542,1.0622565593372897,215
13594668.63,4509721.618,8.143867386430026,1.1240057815795954,216
13594668.27,4509722.381,7.31216253908127,1.1928792891605902,217
13594668.59,4509723.282,6.547824066421843,0.956138588008642,218
13594668.59,4509723.851,6.038259351990026,1.4615474677367088,219
13594668.52,4509724.724,6.038259351990026,2.0382651941763483,220
13594668.56,4509723.343,6.480270133206679,1.0047606685777641,221
13594668.53,4509724.159,6.038259351990026,1.6939542492983677,222
13594668.52,4509721.76,7.977193993006548,1.1193944796406918,223
13594668.43,4509722.468,7.271882561941334,1.1670578392588373,224
13594668.41,4509723.357,6.417852055282859,1.0618140129497355,225
13594668.6,4509724.158,6.038259351990026,1.6434305575840533,226
13594668.54,4509722.578,7.198846852135063,1.0161023579484951,227
13594667.72,4509722.962,6.6191313627806885,1.2918978289966447,228
13594668.43,4509723.766,6.038259351990026,1.3904589173715716,229
13594668.5,4509723.332,6.470625935426004,1.0027581959022196,230
13594668.69,4509722.995,6.851730365202942,0.9769037830766973,231
13594669.87,4509722.757,7.545808438763949,1.3176589073141691,232
13594669.17,4509722.82,7.189637264678917,1.1049999995157123,233
13594669.14,4509723.82,6.267358614465378,1.364124627118371,234
13594668.3,4509723.725,6.038259351990026,1.3443347793351095,235
13594668.61,4509723.174,6.656231967334279,0.9840508118653085,236
13594666.29,4509725.462,6.038259351990026,3.2576439341328354,237
13594666.46,4509727.193,6.038259351990026,4.303184402052277,238
13594666.46,4509727.193,6.038259351990026,4.303184402052277,239
13594667.77,4509726.143,6.038259351990026,2.965203028875142,240
13594667.55,4509727.554,6.038259351990026,4.305699013338643,241
13594667.55,4509729.433,6.038259351990026,5.849890939675795,242
13594666.44,4509730.868,6.038259351990026,7.219693137714086,243
13594665.56,4509730.092,6.038259351990026,6.63486164100033,244
13594668.36,4509728.05,6.038259351990026,4.65120855283184,245
13594664.32,4509730.687,6.038259351990026,5.584041994058625,246
13594662.84,4509731.507,6.038259351990026,4.696034922682997,247
13594662.61,4509730.297,6.038259351990026,4.415685224457376,248
13594661.16,4509730.959,6.038259351990026,3.178307096396052,249
13594661.55,4509731.892,6.038259351990026,3.701219394769864,250
13594661.74,4509730.115,6.038259351990026,3.8559550049127203,251
13594659.47,4509730.958,7.064577551341398,1.8055126703530695,252
13594657.07,4509730.903,9.414059750160023,1.140331530934987,253
13594656.15,4509730.955,10.331387562977456,1.762895629120192,254
13594657.91,4509731.056,8.61258358355982,1.0018103605800028,255
13594657.07,4509730.903,9.414059750160023,1.140331530934987,256
13594656.43,4509730.7,10.019289595105423,1.522214177142992,257
13594658.53,4509730.44,7.903265401014196,1.3287290913760548,258
13594657.69,4509730.365,8.728936303788483,1.0949228279826562,259
13594657.06,4509730.265,9.346305632430154,1.319992803355737,260
13594658.25,4509731.812,8.458800150566274,1.3901424385167835,261
13594657.54,4509731.591,9.0877445497886,1.229138315922703,262
13594656.89,4509731.574,9.716780535449042,1.3333041652965356,263
13594657.22,4509730.39,9.198978420045481,1.2402919009095157,264
13594657.23,4509729.726,9.1444111880885,1.6120077539442885,265
13594656.53,4509731.431,10.039009961012319,1.5743252518978421,266
13594658.99,4509731.758,7.734872719525608,1.7341568557928169,267
13594658.86,4509731.096,7.689981534240714,1.3795872568841987,268
13594658.94,4509729.91,7.4447245748847,1.756086842765244,269
13594658.65,4509728.963,7.734845892516095,2.2207692358304403,270
13594658.07,4509731.703,8.602448545686194,1.2722126390240238,271
13594657.92,4509730.706,8.544015214669328,1.0082207095330034,272
